;Inv.Nr.;Datierung_x;Künstler_x;Datierung_y;Künstler_y
231;G-1991-231;1863;unbekannter Künstler;-;-
232;G-1991-310;1863;unbekannter Künstler, evtl. Wittmaack (Stil und Datierung);-;-
233;G-1991-357;1863;;-;-
234;G-1991-358;1863;;-;-
235;G-1991-415;1863;unbekannter Künstler;-;-
236;G-1991-591;1863;;-;-
237;G-1990-182;1863 - 1881;unbekannter Künstler;-;-
238;G-1990-049;1864;unbekannter Künstler;-;-
239;G-1990-099;1864;unbekannter Künstler;-;-
240;G-1990-111;1864;unbekannter Künstler;-;-
241;G-1991-435;1864;;-;-
242;G-1990-087;1865;unbekannter Künstler;-;-
243;G-1990-143;1865;unbekannter Künstler;-;-
244;G-1991-140;1865;unbekannter Künstler;;
245;G-1991-233;1865;Wittmaack, Johann Heinrich, ? (1822-1874);-;-
246;G-1991-317;1865;;-;-
247;G-1991-343;1865;unbekannter Künstler;-;-
248;G-1991-417;1865;unbekannter Künstler;-;-
249;G-1991-595;1865;;-;-
250;G-1991-613;1865;;-;-
251;G-1991-622;1865;unbekannter Künstler, evtl. Wittmaack;-;-
252;G-1991-080;1865 - 1873;unbekannter Künstler;;
253;G-1990-046;1866;unbekannter Künstler;-;-
254;G-1991-019;1866;unbekannter Künstler;-;-
255;G-1991-215;1866;unbekannter Künstler;-;-
256;G-1991-301;1866;unbekannter Künstler, evtl. Wittmack?;-;-
257;G-1991-328;1866;;-;-
258;G-1991-364;1866;;-;-
259;G-1991-445;1866;unbekannter Künstler;-;-
260;G-1991-575;1866;unbekannter Künstler;-;-
261;G-1990-009;1866 - 1867;unbekannter Künstler;-;-
262;G-1990-093;1867;unbekannter Künstler;-;-
263;G-1990-098;1867;unbekannter Künstler;-;-
264;G-1990-118;1867;unbekannter Künstler;-;-
265;G-1990-120;1867;unbekannter Künstler;-;-
266;G-1990-170;1867;;-;-
267;G-1991-023;1867;unbekannter Künstler;-;-
268;G-1991-049;1867;unbekannter Künstler;-;-
269;G-1991-059;1867;unbekannter Künstler, evtl. J. H. Wittmack;-;-
270;G-1991-087;1867;unbekannter Künstler, nach Datierung, Schrift und Stil evtl. J.H. Wittmaack;-;-
271;G-1991-100;1867;unbekannter Künstler;;
272;G-1991-307;1867;unbekannter Künstler;-;-
273;G-1991-388;1867;;-;-
274;G-1991-392;1867;;-;-
275;G-1991-460;1867;unbekannter Künstler;-;-
276;G-1991-516;1867;Wittmaack, Johann Heinrich (1822-1874);-;-
277;G-1991-623;1867;unbekannter Künstler, evtl. Wittmaack?;-;-
278;G-1990-002;1868;unbekannter Künstler;-;-
279;G-1990-085;1868;unbekannter Künstler;-;-
280;G-1990-106;1868;unbekannter Künstler;-;-
281;G-1990-128;1868;unbekannter Künstler, evtl. Wittmack;-;-
282;G-1990-129;1868;unbekannter Künstler;-;-
